
plan_title,plan_id,plan_duration,plan_tags,plan_author,plan_cover,plan_day_breaks,spot_name,spot_lat,spot_lng,spot_photo,spot_comment,spot_stay_time,spot_is_accommodation
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,三鷹の森ジブリ美術館,35.696233,139.570431,,静かな空間で癒されます。,56,False
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,東京サマーランド,35.71778,139.27405,https://picsum.photos/400/300?random=38619,家族連れにも人気のスポットです。,85,False
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,高尾山温泉旅館,35.626,139.244,,ゆっくりと宿泊できる施設です。,658,True
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,昭和記念公園,35.71,139.395,https://picsum.photos/400/300?random=18211,美味しいグルメが楽しめます。,73,False
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,井の頭恩賜公園,35.70083,139.57417,,都会の喧騒を忘れさせてくれます。,66,False
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,高尾山温泉旅館,35.626,139.244,,ゆっくりと宿泊できる施設です。,571,True
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,高尾山,35.625278,139.243611,,四季折々の景色が楽しめます。,76,False
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,高尾山温泉旅館,35.626,139.244,,ゆっくりと宿泊できる施設です。,617,True
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,三鷹の森ジブリ美術館,35.696233,139.570431,https://picsum.photos/400/300?random=24808,絶景が広がり写真映えします。,65,False
東京郊外文化体験3泊4日,1,4days,文化|寺社|テーマパーク|宿泊,草愛好家,https://picsum.photos/800/600?random=36782,3|6|8,三鷹の森ジブリ美術館,35.696233,139.570431,https://picsum.photos/400/300?random=41199,四季折々の景色が楽しめます。,86,False
東京中心絶景巡り半日,2,half,文化|体験|絶景|グルメ|寺社,潮の夢追い人,https://picsum.photos/800/600?random=24912,,秋葉原,35.702205,139.774146,https://picsum.photos/400/300?random=23910,美味しいグルメが楽しめます。,71,False
東京中心絶景巡り半日,2,half,文化|体験|絶景|グルメ|寺社,潮の夢追い人,https://picsum.photos/800/600?random=24912,,明治神宮,35.675526,139.698578,https://picsum.photos/400/300?random=43921,家族連れにも人気のスポットです。,119,False
